"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Proctor's Gaze","UG","U","41052","4.24","10097","5.24","50771","80.1%","55.2%","8670","55.1%","14744","60.0%","23414","58.2%","26367","52.3%","5.9pp"
"Brush Off","U","U","52512","5.79","9406","7.58","35267","60.0%","55.3%","5888","53.9%","10549","60.6%","16437","58.2%","17830","51.8%","6.3pp"
"Additive Evolution","G","U","34097","3.68","8120","4.44","41605","81.6%","55.0%","6928","56.8%","11256","59.0%","18184","58.2%","22873","52.2%","6.0pp"
"Lecturing Scornmage","B","U","37482","4.02","7569","4.94","38863","80.4%","57.4%","7014","60.7%","8993","56.0%","16007","58.1%","22694","56.9%","1.2pp"
"Murmuring Mystic","U","U","1317","2.81","505","3.03","2855","90.4%","54.7%","489","","892","59.6%","1381","58.1%","1384","51.4%","6.6pp"
"Tome Blast","R","C","102057","4.55","25544","5.69","144354","88.0%","56.8%","25553","55.9%","40404","59.4%","65957","58.1%","76318","55.5%","2.6pp"
"Expressive Iteration","UR","R","3380","3.29","1018","3.78","5314","82.6%","55.4%","926","56.0%","1587","59.2%","2513","58.0%","2653","52.4%","5.7pp"
"Sundown Pass","","R","19413","3.86","4383","5.15","21745","79.1%","56.4%","4107","57.4%","5874","58.4%","9981","58.0%","11562","55.0%","3.1pp"
"Bitter Triumph","B","U","26364","2.87","7903","3.36","45449","90.5%","56.0%","7935","56.5%","11878","58.9%","19813","57.9%","25191","54.3%","3.6pp"
"Last Gasp","B","C","87973","3.82","19841","4.87","112490","88.5%","56.5%","19544","56.6%","28595","58.8%","48139","57.9%","63405","55.4%","2.5pp"
"Render Speechless","WB","C","137200","7.12","20749","9.53","58645","44.2%","57.6%","9812","56.8%","14939","58.6%","24751","57.9%","33369","57.2%","0.7pp"
"Lorehold, the Historian","WR","M","2981","1.50","2159","1.47","11968","89.3%","55.2%","1990","55.2%","3494","59.4%","5484","57.9%","6377","52.6%","5.3pp"
"Transcendent Archaic","","U","52695","5.55","9962","7.34","33909","54.7%","54.5%","5608","53.6%","10244","60.2%","15852","57.9%","17414","50.8%","7.0pp"
"Artistic Process","R","U","37789","3.94","9901","4.82","52748","84.1%","56.0%","8783","54.2%","15717","59.9%","24500","57.9%","26854","54.0%","3.8pp"
"Suspend Aggression","WR","R","16962","3.89","4795","4.46","21790","71.5%","56.9%","3694","56.4%","6084","58.7%","9778","57.9%","11905","56.0%","1.8pp"
"Shattered Sanctum","","R","18966","3.82","3703","5.23","17177","73.7%","56.2%","3074","58.5%","4342","57.4%","7416","57.8%","9607","54.9%","2.9pp"
"Fields of Strife","","C","150810","5.89","30081","8.09","145280","76.2%","56.6%","27039","58.4%","39020","57.5%","66059","57.8%","78101","55.5%","2.4pp"
"Mind into Matter","UG","R","10951","2.60","4391","2.66","22363","82.2%","54.4%","3843","53.9%","6416","60.2%","10259","57.8%","11321","50.5%","7.3pp"
"Potioner's Trove","","C","121216","5.46","24858","7.03","110126","70.9%","55.0%","20695","56.6%","31524","58.6%","52219","57.8%","56021","52.2%","5.6pp"
"Wilt in the Heat","WR","C","119056","5.59","25330","7.19","117396","72.5%","57.2%","19746","55.7%","32713","59.0%","52459","57.8%","64353","56.6%","1.2pp"
"Stand Up for Yourself","W","U","38641","4.09","8876","5.04","48005","84.1%","57.3%","8132","55.1%","12727","59.5%","20859","57.8%","26822","56.9%","0.9pp"
"Archaic's Agony","R","U","57892","6.60","11182","8.56","29500","42.0%","55.2%","4940","52.9%","9092","60.4%","14032","57.7%","14842","52.1%","5.6pp"
"Imperious Inkmage","WB","C","132580","6.70","18547","9.18","67886","57.0%","57.5%","11657","58.5%","16663","57.2%","28320","57.7%","39330","57.4%","0.3pp"
"Dissection Practice","B","U","41402","4.33","7267","5.65","34964","76.3%","55.8%","6094","57.2%","8349","58.0%","14443","57.6%","20338","54.4%","3.2pp"
"Run Behind","U","C","129833","6.08","23130","8.22","100981","69.8%","55.2%","17244","54.7%","30251","59.3%","47495","57.6%","51444","52.7%","5.0pp"
"Charging Strifeknight","R","U","44153","4.61","9919","5.79","51380","81.3%","56.6%","9006","57.3%","14384","57.8%","23390","57.6%","27691","55.8%","1.8pp"
"Prismari Charm","UR","U","43100","4.49","9235","5.71","45627","78.6%","55.1%","7916","55.3%","13681","58.9%","21597","57.6%","22624","52.4%","5.1pp"
"Cost of Brilliance","B","C","130919","6.30","18210","8.72","67032","57.5%","57.0%","11517","56.7%","16636","58.1%","28153","57.5%","38438","56.4%","1.1pp"
"Living History","R","U","50787","5.63","10473","7.00","45299","67.7%","57.9%","8074","58.2%","12231","57.0%","20305","57.5%","24918","58.2%","-0.7pp"
"Inkshape Demonstrator","W","U","41752","4.52","8413","5.65","41693","77.0%","57.3%","7082","57.7%","10777","57.4%","17859","57.5%","23733","57.0%","0.5pp"
"Stormcarved Coast","","R","18300","3.67","4386","4.84","22747","83.1%","54.7%","4287","54.7%","6399","59.3%","10686","57.5%","11499","52.0%","5.4pp"
"Quandrix Charm","UG","U","46252","4.92","8307","6.58","35467","68.4%","54.2%","6100","55.1%","10009","58.9%","16109","57.4%","18824","51.2%","6.2pp"
"Garrison Excavator","R","U","41635","4.53","9824","5.48","48461","76.7%","57.4%","8228","56.2%","13508","58.2%","21736","57.4%","26735","57.3%","0.2pp"
